,fname,label,manually_verified,fpath
0,00044347.wav,Hi-hat,0,audio_train/audio_train/00044347.wav
1,001ca53d.wav,Saxophone,1,audio_train/audio_train/001ca53d.wav
2,002d256b.wav,Trumpet,0,audio_train/audio_train/002d256b.wav
3,0033e230.wav,Glockenspiel,1,audio_train/audio_train/0033e230.wav
4,00353774.wav,Cello,1,audio_train/audio_train/00353774.wav
5,003b91e8.wav,Cello,0,audio_train/audio_train/003b91e8.wav
6,003da8e5.wav,Knock,1,audio_train/audio_train/003da8e5.wav
7,0048fd00.wav,Gunshot_or_gunfire,1,audio_train/audio_train/0048fd00.wav
8,004ad66f.wav,Clarinet,0,audio_train/audio_train/004ad66f.wav
9,0063ab88.wav,Computer_keyboard,0,audio_train/audio_train/0063ab88.wav
10,006f2f32.wav,Hi-hat,1,audio_train/audio_train/006f2f32.wav
11,0075d39c.wav,Keys_jangling,0,audio_train/audio_train/0075d39c.wav
12,00780200.wav,Snare_drum,0,audio_train/audio_train/00780200.wav
13,0079d310.wav,Writing,0,audio_train/audio_train/0079d310.wav
14,0091fc7f.wav,Cello,1,audio_train/audio_train/0091fc7f.wav
15,0097160c.wav,Laughter,1,audio_train/audio_train/0097160c.wav
16,00ad7068.wav,Laughter,0,audio_train/audio_train/00ad7068.wav
17,00c5808a.wav,Tearing,0,audio_train/audio_train/00c5808a.wav
18,00c82919.wav,Fart,0,audio_train/audio_train/00c82919.wav
19,00c934d7.wav,Laughter,1,audio_train/audio_train/00c934d7.wav
20,00c9e799.wav,Oboe,0,audio_train/audio_train/00c9e799.wav
21,00cb787c.wav,Flute,1,audio_train/audio_train/00cb787c.wav
22,00ce569f.wav,Hi-hat,0,audio_train/audio_train/00ce569f.wav
23,00d1fe46.wav,Cough,0,audio_train/audio_train/00d1fe46.wav
24,00d3bba3.wav,Telephone,1,audio_train/audio_train/00d3bba3.wav
25,00d40fa2.wav,Snare_drum,0,audio_train/audio_train/00d40fa2.wav
26,00d9fa61.wav,Flute,0,audio_train/audio_train/00d9fa61.wav
27,00e2b4cd.wav,Bark,1,audio_train/audio_train/00e2b4cd.wav
28,00f88dc5.wav,Glockenspiel,1,audio_train/audio_train/00f88dc5.wav
29,00fbb28b.wav,Chime,0,audio_train/audio_train/00fbb28b.wav
30,00fcbab2.wav,Bass_drum,0,audio_train/audio_train/00fcbab2.wav
31,010aa387.wav,Fart,0,audio_train/audio_train/010aa387.wav
32,011a2185.wav,Cello,1,audio_train/audio_train/011a2185.wav
33,0120d246.wav,Bus,0,audio_train/audio_train/0120d246.wav
34,01235a12.wav,Squeak,0,audio_train/audio_train/01235a12.wav
35,01257aad.wav,Scissors,1,audio_train/audio_train/01257aad.wav
36,01302128.wav,Harmonica,0,audio_train/audio_train/01302128.wav
37,013264d3.wav,Squeak,0,audio_train/audio_train/013264d3.wav
38,013c3135.wav,Clarinet,0,audio_train/audio_train/013c3135.wav
39,01506d76.wav,Scissors,0,audio_train/audio_train/01506d76.wav
40,015cf474.wav,Clarinet,0,audio_train/audio_train/015cf474.wav
41,0160d55e.wav,Gong,1,audio_train/audio_train/0160d55e.wav
42,01638f61.wav,Writing,0,audio_train/audio_train/01638f61.wav
43,0172a2a5.wav,Microwave_oven,1,audio_train/audio_train/0172a2a5.wav
44,017ea24e.wav,Burping_or_eructation,0,audio_train/audio_train/017ea24e.wav
45,01811e48.wav,Harmonica,0,audio_train/audio_train/01811e48.wav
46,0184c390.wav,Cello,0,audio_train/audio_train/0184c390.wav
47,018863f5.wav,Double_bass,0,audio_train/audio_train/018863f5.wav
48,018a10bb.wav,Double_bass,0,audio_train/audio_train/018a10bb.wav
49,018b1df6.wav,Shatter,1,audio_train/audio_train/018b1df6.wav
50,018d1dc4.wav,Hi-hat,0,audio_train/audio_train/018d1dc4.wav
51,0193042e.wav,Fireworks,0,audio_train/audio_train/0193042e.wav
52,01974c7c.wav,Hi-hat,0,audio_train/audio_train/01974c7c.wav
53,019aae9d.wav,Fireworks,0,audio_train/audio_train/019aae9d.wav
54,019d2a2c.wav,Bark,1,audio_train/audio_train/019d2a2c.wav
55,01a36643.wav,Tambourine,0,audio_train/audio_train/01a36643.wav
56,01a39e95.wav,Shatter,0,audio_train/audio_train/01a39e95.wav
57,01a59a61.wav,Gong,0,audio_train/audio_train/01a59a61.wav
58,01a59c11.wav,Harmonica,1,audio_train/audio_train/01a59c11.wav
59,01a5dc85.wav,Double_bass,0,audio_train/audio_train/01a5dc85.wav
60,01b9f44a.wav,Telephone,1,audio_train/audio_train/01b9f44a.wav
61,01c2f88b.wav,Bass_drum,1,audio_train/audio_train/01c2f88b.wav
62,01d2475c.wav,Writing,0,audio_train/audio_train/01d2475c.wav
63,01d4dafd.wav,Harmonica,1,audio_train/audio_train/01d4dafd.wav
64,01df7ada.wav,Shatter,0,audio_train/audio_train/01df7ada.wav
65,01e723f5.wav,Harmonica,1,audio_train/audio_train/01e723f5.wav
66,01ec7a01.wav,Tearing,0,audio_train/audio_train/01ec7a01.wav
67,01ee18fd.wav,Microwave_oven,1,audio_train/audio_train/01ee18fd.wav
68,01f2e70b.wav,Gunshot_or_gunfire,1,audio_train/audio_train/01f2e70b.wav
69,01fc4661.wav,Oboe,1,audio_train/audio_train/01fc4661.wav
70,020eb9f6.wav,Bark,1,audio_train/audio_train/020eb9f6.wav
71,021f8009.wav,Fart,0,audio_train/audio_train/021f8009.wav
